nbhoods,Bldg_Type,zoning,Lot_Config,Street,House_Style,Condition_1,Overall_Qual,Overall_Cond,Year_Built,Misc_Val,BsmtFin_Type_1,BsmtFin_Type_2,basement_exp,basement_qual,Total_Bsmt_SF,garage_qual,Garage_Area,area_porch,Low_Qual_Fin_SF,Garage_Type,Garage_Finish,Garage_Cars,Fireplaces,fireplace_qual,Heating_QC,Central_Air,Exter_Qual,Exter_Cond,Pool_Area,major_functional,severe_functional,SalePrice,aleatoria_num,aleatoria_cat,Lot_Area,Gr_Liv_Area,First_Flr_SF,Second_Flr_SF
Other,TwnhsE,RM,Inside,Pave,2Story,Norm,6,6,1980,0,ALQ,Unf,Mn,Gd,561,TA,462,0,0,Attchd,Fin,2,1,TA,TA,Y,TA,Gd,0,0,0,137000,0.08929101525853643,a,1488,1229,561,668
Other,TwnhsE,RM,Inside,Pave,1Story,Norm,8,6,1989,0,GLQ,Unf,Gd,Gd,982,TA,598,36,0,Attchd,Fin,2,1,TA,Gd,Y,Gd,TA,0,0,0,185000,-0.2418850937884771,b,3907,1034,1034,0
Other,Twnhs,RM,Inside,Pave,2Story,Norm,6,6,1980,0,LwQ,GLQ,No,Gd,716,TA,452,0,0,Attchd,Fin,2,1,TA,TA,Y,TA,Gd,0,0,0,151000,-0.14243880537929082,b,1950,1556,716,840
Other,TwnhsE,RM,Inside,Pave,1Story,Norm,8,5,1989,0,GLQ,Unf,Av,Gd,1191,TA,531,81,0,Attchd,Unf,2,1,TA,Gd,Y,Gd,TA,0,0,0,162500,-2.714188607841813,a,3907,1191,1191,0
BrDale,TwnhsE,RM,Inside,Pave,2Story,Norm,5,5,1970,0,Unf,Unf,No,TA,630,TA,440,0,0,Detchd,Unf,2,0,No Fireplace,TA,Y,TA,TA,0,0,0,106000,-0.7623148960422523,a,2016,1302,630,672
BrDale,Twnhs,RM,Inside,Pave,2Story,Norm,6,7,1972,0,BLQ,Unf,No,TA,672,TA,264,28,0,Detchd,Unf,1,0,No Fireplace,Gd,Y,TA,TA,0,0,0,118000,0.3181904807911156,a,1680,1218,672,546
BrDale,Twnhs,RM,Inside,Pave,2Story,Norm,6,5,1972,0,BLQ,Unf,No,TA,525,TA,264,0,0,Detchd,Unf,1,0,No Fireplace,Gd,Y,TA,TA,0,0,0,108000,1.0276048198584087,a,1680,1092,525,567
BrDale,Twnhs,RM,Inside,Pave,2Story,Norm,6,6,1970,0,Rec,Unf,No,TA,483,TA,280,0,0,Detchd,Unf,1,0,No Fireplace,TA,Y,TA,TA,0,0,0,106000,1.1969744648262473,c,1869,987,483,504
BrDale,Twnhs,RM,Inside,Pave,2Story,Norm,6,8,1972,0,ALQ,Unf,No,TA,483,TA,264,0,0,Detchd,Unf,1,0,No Fireplace,Gd,Y,TA,TA,0,0,0,118000,1.0184025017688523,c,1680,987,483,504
BrDale,Twnhs,RM,Inside,Pave,2Story,Norm,6,5,1972,0,Unf,Unf,No,TA,483,TA,288,0,0,Attchd,Unf,1,1,Po,TA,Y,TA,TA,0,0,0,94500,-1.0722357803742804,a,1680,987,483,504
BrDale,TwnhsE,RM,Inside,Pave,2Story,Norm,6,3,1971,0,ALQ,Unf,No,TA,483,TA,264,0,0,Detchd,Unf,1,0,No Fireplace,TA,Y,TA,TA,0,0,0,89500,-0.34988896826144306,c,1680,987,483,504
BrDale,Twnhs,RM,Inside,Pave,2Story,Norm,6,6,1972,0,Rec,LwQ,No,TA,483,TA,288,0,0,Detchd,Unf,1,0,No Fireplace,TA,Y,TA,TA,0,0,0,97000,-0.26775014543214815,a,1680,987,483,504
BrDale,TwnhsE,RM,Inside,Pave,2Story,Norm,5,5,1971,0,ALQ,Unf,No,TA,765,TA,440,36,0,Detchd,Unf,2,0,No Fireplace,Ex,Y,TA,TA,0,0,0,122500,-0.7074657743105793,b,1920,1365,765,600
BrDale,Twnhs,RM,Inside,Pave,2Story,Norm,5,5,1971,0,Rec,Unf,No,TA,525,TA,320,0,0,Detchd,Unf,1,0,No Fireplace,TA,Y,TA,TA,0,0,0,105500,0.28175593091751755,b,1680,1092,525,567
BrDale,Twnhs,RM,Inside,Pave,2Story,Norm,6,5,1973,0,Unf,Unf,No,TA,672,TA,264,28,0,Detchd,Unf,1,0,No Fireplace,Ex,Y,TA,TA,0,0,0,113700,0.6748221119914974,a,2058,1218,672,546
BrDale,Twnhs,RM,Inside,Pave,2Story,Norm,6,5,1973,0,BLQ,Unf,No,TA,483,TA,264,0,0,Detchd,Unf,1,0,No Fireplace,TA,Y,TA,TA,0,0,0,83000,-1.1173117070729324,c,1953,987,483,504
BrDale,Twnhs,RM,Inside,Pave,2Story,Norm,6,5,1973,0,BLQ,Unf,No,TA,483,TA,264,0,0,Detchd,Unf,1,0,No Fireplace,TA,Y,TA,TA,0,0,0,100000,1.3005258123330266,c,1680,987,483,504
BrDale,Twnhs,RM,Inside,Pave,2Story,Norm,6,5,1971,0,Rec,Unf,No,TA,483,TA,264,0,0,Detchd,Unf,1,0,No Fireplace,TA,Y,TA,TA,0,0,0,96000,1.3417325719074908,a,1680,987,483,504
BrDale,Twnhs,RM,Inside,Pave,2Story,Norm,6,7,1972,0,ALQ,Unf,No,TA,494,TA,264,0,0,Detchd,Unf,1,0,No Fireplace,Ex,Y,TA,TA,0,0,0,116000,-0.8205171790857158,a,1890,1030,494,536
BrkSide,1Fam,RL,Inside,Pave,1.5Fin,RRAn,5,7,1930,0,Unf,Unf,No,TA,297,TA,336,60,0,Detchd,Unf,1,1,Gd,Ex,Y,TA,TA,0,0,0,137000,-0.0029622471871062015,c,4960,1654,1001,653
BrkSide,1Fam,RM,Inside,Pave,1Story,Norm,5,6,1945,0,"NA","NA","NA","NA",0,TA,164,48,0,Attchd,Unf,1,0,No Fireplace,Gd,N,TA,Gd,0,0,0,81300,-0.010488233441041267,c,6120,808,808,0
BrkSide,1Fam,RL,Inside,Pave,1.5Fin,Feedr,3,5,1945,2000,LwQ,Unf,No,TA,370,"NA",0,21,0,No Garage,No Garage,0,0,No Fireplace,TA,N,TA,TA,0,0,0,64000,-0.3434396255653328,b,3500,670,442,228
BrkSide,1Fam,RM,Inside,Pave,1.5Fin,Norm,5,7,1936,0,Rec,Unf,No,TA,528,TA,624,32,0,Detchd,Fin,2,0,No Fireplace,Gd,Y,TA,TA,0,0,0,123900,-1.4902598113898895,b,6240,1040,548,492
BrkSide,2fmCon,RL,Corner,Pave,1.5Unf,Artery,5,6,1939,0,GLQ,Unf,No,TA,991,Gd,205,4,0,Attchd,RFn,1,2,TA,Ex,Y,TA,TA,0,0,0,118000,-0.4855115959755683,b,7420,1077,1077,0
BrkSide,1Fam,RL,Inside,Pave,1Story,Norm,1,3,1946,0,"NA","NA","NA","NA",0,"NA",0,0,0,No Garage,No Garage,0,0,No Fireplace,Fa,N,Fa,Fa,0,0,0,39300,0.29166775692003244,b,5000,334,334,0
BrkSide,2fmCon,RL,Inside,Pave,1Story,RRAn,4,5,1970,0,ALQ,Unf,Av,TA,960,TA,576,288,0,Detchd,Unf,2,0,No Fireplace,TA,N,TA,TA,0,0,0,129000,0.3453557300368462,b,9873,960,960,0
BrkSide,1Fam,RM,Inside,Pave,1.5Fin,Norm,4,7,1929,0,BLQ,Unf,No,TA,704,TA,336,445,0,Detchd,Unf,1,0,No Fireplace,Ex,Y,TA,TA,0,0,0,123000,1.2954711790975777,a,6240,1136,624,512
BrkSide,1Fam,RL,Inside,Pave,1Story,Norm,5,7,1925,0,LwQ,Rec,No,TA,756,Fa,308,215,0,Detchd,Unf,1,1,Gd,TA,N,TA,Gd,0,0,0,136500,1.8648557401026649,c,6854,1060,916,144
BrkSide,1Fam,RM,Inside,Pave,1.5Unf,Norm,5,6,1924,0,ALQ,Unf,No,TA,784,"NA",0,116,0,No Garage,No Garage,0,0,No Fireplace,Gd,Y,TA,TA,0,0,0,109500,0.4057176143501156,b,6130,784,784,0
BrkSide,1Fam,RL,Inside,Pave,1Story,Norm,5,7,1928,0,LwQ,BLQ,No,TA,1008,TA,288,0,0,Detchd,Unf,1,1,Po,TA,Y,Gd,Gd,0,0,0,138000,-0.19589640172979797,a,7111,1143,1143,0
BrkSide,1Fam,RM,Inside,Pave,1.5Fin,Norm,5,6,1926,0,ALQ,Unf,No,TA,756,TA,379,0,0,Detchd,Unf,2,0,No Fireplace,Gd,Y,TA,TA,0,0,0,132500,-0.17624064988968977,a,6120,1281,903,378
BrkSide,1Fam,RL,Inside,Pave,1Story,Norm,4,5,1926,0,Unf,Unf,Mn,Fa,600,TA,528,32,0,Detchd,Unf,2,0,No Fireplace,Gd,Y,TA,Gd,0,0,0,79900,-1.158601778445318,a,5825,747,747,0
BrkSide,1Fam,RM,Inside,Pave,1.5Unf,Norm,6,7,1926,0,Unf,Unf,No,TA,992,Fa,160,101,0,Detchd,Unf,1,0,No Fireplace,Ex,Y,TA,TA,0,0,0,113000,-2.4855764443971546,a,5000,1013,1013,0
BrkSide,1Fam,RM,Inside,Pave,1Story,Feedr,4,7,1925,0,Rec,Unf,No,TA,765,Fa,200,41,0,Detchd,Unf,1,0,No Fireplace,TA,N,TA,TA,0,0,0,87000,1.941991023725204,c,5000,765,765,0
BrkSide,1Fam,RL,Inside,Pave,2.5Unf,PosN,6,6,1916,0,Unf,Unf,No,TA,844,TA,441,328,0,Detchd,Unf,2,0,No Fireplace,Gd,N,TA,TA,0,0,0,214500,0.9141375617098544,a,11888,2134,1445,689
BrkSide,1Fam,RM,Inside,Pave,1.5Fin,Norm,4,5,1947,0,"NA","NA","NA","NA",0,"NA",0,0,0,No Garage,No Garage,0,0,No Fireplace,Gd,N,TA,TA,0,0,0,80500,-0.7861785835584892,c,6240,912,672,240
BrkSide,1Fam,RM,Inside,Pave,1.5Fin,Norm,3,5,1930,0,Rec,Unf,No,TA,728,Fa,258,24,0,Detchd,Unf,1,0,No Fireplace,Ex,Y,Gd,TA,0,0,0,75000,0.6136259484754886,b,6120,1162,728,434
BrkSide,1Fam,RL,Inside,Pave,1.5Fin,Norm,6,7,1920,0,Unf,Unf,No,TA,768,TA,576,198,0,Detchd,Unf,2,0,No Fireplace,Ex,Y,TA,Gd,0,0,0,165000,-0.7492573957904598,b,8850,1376,752,624
BrkSide,1Fam,RL,Inside,Pave,1Story,Norm,4,7,1940,0,LwQ,Unf,No,TA,420,"NA",0,0,0,No Garage,No Garage,0,0,No Fireplace,Gd,Y,Fa,TA,0,0,0,82500,1.1488484306793025,a,5330,708,708,0
BrkSide,1Fam,RL,Inside,Pave,1Story,Norm,3,3,1946,0,LwQ,Unf,No,Fa,666,"NA",0,52,0,No Garage,No Garage,0,0,No Fireplace,Fa,N,Fa,Fa,0,0,0,64500,0.5351728238630269,b,5000,666,666,0
BrkSide,1Fam,RL,Inside,Pave,1.5Fin,Norm,6,4,1915,0,Unf,Unf,No,TA,810,TA,672,195,0,Detchd,Unf,2,0,No Fireplace,Ex,Y,TA,Gd,0,0,0,162500,0.271188342635135,a,9144,1716,1170,546
BrkSide,1Fam,RM,Inside,Pave,1.5Fin,Norm,7,5,1939,0,Rec,LwQ,Mn,TA,989,TA,400,20,0,Detchd,Unf,2,1,Gd,TA,Y,TA,TA,0,0,0,150000,1.1422697722330275,c,6240,2009,1245,764
BrkSide,1Fam,RM,Corner,Pave,1.5Fin,Norm,5,6,1936,0,Unf,Unf,No,TA,927,TA,576,0,0,Detchd,Unf,2,0,No Fireplace,TA,Y,TA,Fa,0,0,0,141500,0.46902130685357785,b,6120,1539,1067,472
BrkSide,1Fam,RL,Inside,Pave,1Story,Norm,5,7,1958,0,BLQ,Unf,Gd,TA,858,"NA",0,0,0,No Garage,No Garage,0,0,No Fireplace,Gd,Y,TA,Gd,0,0,0,116500,1.487247652521746,c,7207,858,858,0
BrkSide,1Fam,RM,Corner,Pave,1.5Fin,Norm,5,5,1924,0,Rec,Unf,No,TA,468,TA,320,98,0,Attchd,Fin,1,0,No Fireplace,Gd,Y,TA,TA,0,0,0,93000,-0.31778122168876555,b,6000,1142,822,320
BrkSide,1Fam,RM,Inside,Pave,1.5Unf,Norm,6,7,1926,0,Unf,Unf,No,TA,884,TA,180,105,0,Detchd,Unf,1,0,No Fireplace,Gd,Y,Gd,TA,0,0,0,119000,1.2202421789415006,b,6000,904,904,0
BrkSide,1Fam,RL,Inside,Pave,1.5Fin,RRAn,5,8,1908,0,Unf,Unf,No,Fa,504,TA,576,0,0,Attchd,Unf,2,0,No Fireplace,Gd,Y,TA,TA,0,0,0,127000,0.3137175601285763,b,7438,1252,936,316
BrkSide,1Fam,RL,Inside,Pave,2Story,Norm,5,6,1923,0,GLQ,Unf,Gd,TA,1324,TA,528,312,0,Attchd,RFn,2,1,TA,Ex,Y,TA,TA,0,0,0,223500,-0.35690218845299243,c,21384,1576,1072,504
BrkSide,1Fam,RM,Inside,Pave,1.5Fin,Norm,6,6,1941,0,ALQ,Unf,No,TA,735,TA,440,0,0,Detchd,Unf,2,1,Gd,Ex,Y,TA,Gd,0,0,0,131000,-0.07167369455645449,a,6000,1218,869,349
BrkSide,1Fam,RM,Inside,Pave,1Story,Norm,5,6,1925,0,Unf,Unf,No,TA,960,TA,264,66,0,Detchd,Unf,1,0,No Fireplace,Gd,Y,TA,TA,0,0,0,115000,1.7539749074351196,b,6120,995,995,0
BrkSide,1Fam,RM,FR2,Pave,1Story,Feedr,5,5,1924,0,LwQ,Unf,Mn,TA,1145,TA,440,0,0,Detchd,Unf,2,0,No Fireplace,TA,Y,TA,TA,0,0,0,100000,-5.731660872421112e-4,a,6911,1301,1301,0
BrkSide,1Fam,RM,Inside,Pave,1Story,RRAn,5,6,1930,600,Unf,Unf,No,TA,742,TA,308,0,156,Detchd,Unf,1,0,No Fireplace,TA,Y,TA,TA,0,0,0,79500,-0.6880078298720858,a,9100,935,779,0
BrkSide,1Fam,RM,Inside,Pave,1Story,Norm,5,7,1924,0,Unf,Unf,No,TA,949,TA,370,48,0,Detchd,Unf,2,1,Fa,Ex,Y,TA,Fa,0,0,0,119000,-0.31238412458299053,b,6000,949,949,0
BrkSide,1Fam,RL,Inside,Pave,1Story,Norm,3,6,1935,0,Unf,Unf,No,TA,270,"NA",0,0,0,No Garage,No Garage,0,0,No Fireplace,Gd,Y,Gd,TA,0,1,0,52000,0.1858998239474993,a,4130,729,729,0
BrkSide,1Fam,RM,Corner,Pave,2Story,Feedr,6,9,1900,400,Unf,Unf,No,TA,554,Fa,200,112,0,Detchd,Unf,1,0,No Fireplace,Ex,Y,TA,Gd,0,0,0,106900,-0.8950296305085895,a,5870,1290,736,554
BrkSide,1Fam,RM,Corner,Pave,1.5Fin,Norm,6,7,1929,0,Unf,Unf,No,TA,862,TA,208,112,0,BuiltIn,RFn,1,1,Gd,TA,Y,TA,TA,0,0,0,120000,-0.6747334419155502,c,6000,1158,950,208
BrkSide,1Fam,RM,Inside,Pave,2Story,Norm,6,6,1939,0,Rec,Unf,Mn,TA,600,TA,217,0,0,Attchd,Unf,1,2,TA,Ex,Y,TA,TA,0,0,0,128000,-1.6945406543830528,b,6000,1232,608,624
BrkSide,1Fam,RL,Inside,Pave,1Story,Norm,6,6,1923,0,Unf,Unf,No,TA,1022,Fa,216,61,0,BuiltIn,Unf,1,1,Gd,TA,N,TA,TA,0,0,0,149000,0.7529366391824458,b,6615,1432,1432,0
BrkSide,1Fam,RL,Inside,Pave,1.5Fin,Norm,6,7,1923,0,Rec,Unf,No,Gd,1065,TA,440,38,0,Detchd,Unf,2,1,Gd,Ex,Y,TA,TA,0,0,0,210000,-0.5243414091656302,c,8737,1635,915,720
BrkSide,1Fam,RM,Inside,Pave,1.5Fin,Norm,6,6,1934,400,Unf,Unf,No,TA,816,TA,528,0,360,Detchd,Unf,2,1,Gd,TA,Y,TA,TA,0,0,0,114500,-1.4273998868584163,b,6240,1176,816,0
BrkSide,1Fam,RM,Corner,Pave,1.5Fin,RRAn,7,7,1945,0,Unf,Unf,No,TA,672,TA,252,0,0,Attchd,Unf,1,0,No Fireplace,Gd,Y,TA,TA,0,0,0,108000,-0.3992971847462155,c,7425,1668,1195,473
BrkSide,1Fam,RM,Inside,Pave,1.5Fin,Feedr,5,7,1941,0,ALQ,Unf,No,TA,672,TA,240,0,0,Detchd,Unf,1,0,No Fireplace,Ex,Y,TA,Gd,0,0,0,124000,-0.5102774997815023,c,5000,1210,832,378
BrkSide,1Fam,RL,Inside,Pave,1.5Unf,Norm,6,6,1916,0,Unf,Unf,No,TA,952,Fa,192,138,0,Detchd,Unf,1,1,Gd,Fa,N,TA,TA,0,0,0,121000,-0.15591771180488728,a,8854,952,952,0
BrkSide,1Fam,RM,Inside,Pave,1.5Fin,Norm,6,5,1939,0,LwQ,Unf,No,TA,739,TA,240,0,0,Detchd,Unf,1,1,Gd,Ex,Y,TA,TA,0,0,0,105000,-1.5989083575538987,a,6000,1342,874,468
BrkSide,1Fam,RM,FR3,Pave,2Story,RRNn,6,8,1920,0,Unf,Unf,Mn,Fa,611,TA,502,84,0,Detchd,Fin,2,0,No Fireplace,Ex,Y,TA,TA,0,0,0,128000,-0.8417240237347906,a,6155,1362,751,611
BrkSide,1Fam,RL,Inside,Pave,1.5Fin,Norm,7,7,1925,0,Unf,Unf,No,TA,952,TA,672,144,0,Detchd,Unf,2,0,No Fireplace,Gd,N,Gd,Gd,0,0,0,205000,-0.9659924882106729,c,7264,1548,952,596
BrkSide,1Fam,RM,Corner,Pave,1.5Fin,Feedr,6,7,1947,0,ALQ,Unf,No,TA,1004,TA,420,60,0,Detchd,Unf,2,2,Gd,Ex,Y,TA,Gd,0,0,0,159000,0.9939641138373763,b,5000,1664,1004,660
BrkSide,1Fam,RL,Inside,Pave,1.5Fin,Norm,5,5,1935,0,Rec,Unf,No,TA,1024,TA,240,30,0,Detchd,Unf,1,1,Gd,TA,Y,TA,TA,0,0,0,153000,-1.51110574297229,b,7010,1738,1144,594
BrkSide,1Fam,RM,Inside,Pave,1.5Fin,Norm,5,8,1939,0,Rec,Unf,No,TA,672,TA,280,0,0,Detchd,Unf,1,0,No Fireplace,Ex,Y,TA,Gd,0,0,0,132000,-0.5788473552121847,c,6240,1322,899,423
BrkSide,1Fam,RM,Corner,Pave,1Story,Norm,5,7,1931,0,BLQ,Unf,No,TA,715,Fa,180,0,0,Detchd,Unf,1,0,No Fireplace,TA,Y,TA,TA,0,0,0,105000,0.6255631628419871,c,6120,875,875,0
BrkSide,1Fam,RM,Inside,Pave,1Story,Norm,5,7,1925,620,Rec,Unf,No,TA,768,TA,450,232,0,Detchd,Unf,1,0,No Fireplace,TA,N,TA,TA,0,0,0,88000,0.8276161960531728,a,6120,1015,1015,0
BrkSide,1Fam,RM,Inside,Pave,1.5Fin,Norm,6,7,1939,0,BLQ,LwQ,No,TA,608,TA,240,128,0,Detchd,Unf,1,0,No Fireplace,TA,Y,TA,TA,0,0,0,134000,-1.4332941263490746,a,6000,1132,608,524
BrkSide,1Fam,RL,Inside,Pave,1.5Fin,Norm,6,7,1923,0,Unf,Unf,No,TA,833,TA,370,220,0,Detchd,Unf,2,1,Gd,Gd,Y,TA,TA,0,0,0,207000,-0.5997294899392845,c,13053,1848,1053,795
ClearCr,1Fam,RL,Corner,Pave,2Story,Feedr,6,5,1992,0,GLQ,Unf,Av,Gd,1580,TA,501,231,0,Attchd,Fin,2,2,Fa,Ex,Y,Gd,TA,0,0,0,240000,-0.16900020302589497,b,53107,1953,1079,874
ClearCr,1Fam,RL,Inside,Pave,1Story,Norm,5,8,1968,0,GLQ,Unf,Gd,TA,1437,TA,452,108,0,Attchd,Unf,1,2,Gd,Ex,Y,TA,TA,0,0,0,143000,1.120363700550238,a,25095,1473,1473,0
ClearCr,1Fam,RL,Inside,Pave,1Story,Norm,7,6,1967,0,Rec,ALQ,Av,Gd,1865,TA,521,283,0,Attchd,Unf,2,2,Gd,TA,Y,TA,TA,0,0,0,278000,2.1146829570036045,b,20355,1830,1830,0
ClearCr,1Fam,RL,Inside,Pave,1.5Fin,Norm,5,3,1917,0,Unf,Unf,No,Gd,689,Fa,180,248,0,Detchd,Unf,1,0,No Fireplace,Gd,N,TA,TA,0,0,0,107500,2.751158861240239,a,10632,1224,725,499
ClearCr,1Fam,RL,Inside,Pave,1Story,Norm,7,7,1977,0,ALQ,Unf,Gd,Gd,1420,TA,690,0,0,Attchd,RFn,2,2,TA,Gd,Y,Gd,Gd,0,0,0,270000,-1.3137995736647867,b,20062,1483,1483,0
ClearCr,1Fam,RL,CulDSac,Pave,2Story,Norm,6,5,1978,0,ALQ,Unf,Av,Gd,1117,TA,522,104,0,Attchd,Fin,2,1,TA,Ex,Y,TA,TA,0,0,0,230000,-0.8141897874551643,c,17082,1981,1117,864
ClearCr,1Fam,RL,Inside,Pave,1.5Fin,Norm,4,5,1957,0,Unf,Unf,Av,TA,1104,TA,304,0,0,Attchd,Unf,1,2,TA,Ex,Y,TA,TA,0,0,0,161500,0.5209356864219897,b,11250,1788,1104,684
ClearCr,1Fam,RL,Inside,Pave,SLvl,Norm,6,7,1971,0,GLQ,Unf,Av,TA,1010,TA,440,0,0,Attchd,Unf,2,0,No Fireplace,Gd,Y,TA,TA,0,0,0,155000,-0.6219426609976222,b,8816,1052,1052,0
ClearCr,1Fam,RL,Inside,Pave,1Story,Norm,6,5,1968,0,LwQ,Unf,No,Gd,1388,TA,522,58,0,Attchd,RFn,2,1,Po,Gd,Y,TA,Fa,0,0,0,158900,0.3976854581294855,a,12000,1388,1388,0
ClearCr,1Fam,RL,Corner,Pave,1Story,Norm,6,5,1984,0,BLQ,LwQ,No,Gd,1190,TA,552,245,0,Attchd,Fin,2,1,TA,Ex,Y,TA,TA,0,0,0,182000,-1.5313342431651729,c,11075,1522,1522,0
ClearCr,1Fam,RL,CulDSac,Pave,1Story,Norm,7,7,1954,0,LwQ,GLQ,Gd,Gd,1385,TA,439,0,0,Attchd,Unf,2,2,TA,Ex,Y,TA,TA,0,0,0,241500,-1.2111238366987178,b,39104,1363,1363,0
ClearCr,1Fam,RL,Inside,Pave,1Story,Norm,7,5,1986,0,GLQ,Unf,Gd,Gd,1453,TA,445,264,0,Attchd,RFn,2,1,TA,Gd,Y,TA,TA,0,0,0,190000,0.14401713635508445,c,5271,1453,1453,0
ClearCr,1Fam,RL,Inside,Pave,1.5Fin,Feedr,4,4,1959,0,"NA","NA","NA","NA",0,TA,680,59,0,Detchd,Fin,2,1,Gd,TA,Y,TA,TA,0,0,0,134432,-1.015834272510807,b,17120,1588,1120,468
ClearCr,1Fam,RL,Inside,Pave,1Story,Norm,7,5,1975,0,ALQ,Unf,Gd,Gd,1533,TA,576,54,0,Attchd,Unf,2,2,TA,TA,Y,TA,TA,0,0,0,280000,0.731198915611373,b,70761,1533,1533,0
ClearCr,1Fam,RL,CulDSac,Pave,2Story,Norm,7,5,1992,0,GLQ,Unf,Av,Gd,1449,TA,525,193,0,Attchd,Unf,2,1,TA,Gd,Y,Gd,TA,0,0,0,233500,-0.24491036988016646,b,16698,1759,944,815
ClearCr,1Fam,RL,CulDSac,Pave,1.5Fin,Norm,6,7,1958,500,Rec,Unf,Gd,Gd,1444,TA,389,98,0,Attchd,Fin,2,2,TA,Gd,Y,Gd,TA,0,0,0,277000,-1.0109793268423157,a,159000,2144,1444,700
